source_table,feature_group,frequency,primary_date_column,feature_date_columns,asof_date_columns,usable_date_rules,has_active_high_rule,disclosure_statuses,join_rule,readiness_status,main_model_candidate,notes,candidate_level,candidate_count
raw.epsis_fuel_cost_monthly,power_epsis,monthly,asof_date,feature_month,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,15
raw.epsis_power_supply_daily,power_epsis,daily,asof_date,feature_date,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,7
raw.epsis_power_trade_volume_monthly,power_epsis,monthly,asof_date,feature_month,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,20
raw.epsis_smp_monthly,power_epsis,monthly,asof_date,feature_month,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,4
raw.kma_asos_weather_daily,weather_kma,daily,asof_date,feature_date,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,12
raw.kma_asos_weather_station_daily,weather_kma,daily,asof_date,feature_date,asof_date,Use only rows where asof_date <= trade_date; conservative lag from ontology quality layer.,True,active,asof_date <= trade_date 기준 as-of join.,use_now,True,ontology_quality linked,source_table,11
raw.krx_ets_daily,market_internal,daily,trd_dd,trd_dd,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,trade_date 기준 market-level 집계 후 lag/rolling 파생. target horizon의 미래 가격/거래량은 사용 금지.,derive_now,True,,source_table,9
raw.krx_auction_monthly,auction,monthly,trd_dd,trd_dd,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,trd_dd 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,use_with_lag,True,,source_table,9
raw.commodities_monthly,external_market,monthly,date,date,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,date 기준 월별 값 forward-fill. 공시 lag/asof_date가 없으면 보수적 lag 필요.,use_with_lag,True,,source_table,3
raw.eua_daily,external_market,daily,date,date,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,use_with_lag,True,,source_table,5
raw.oil_daily,external_market,daily,date,date,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,date <= trade_date 기준 lag/as-of join. same-day 사용 가능성은 source timing 검토 필요.,use_with_lag,True,,source_table,2
raw.gir_additional_allocation,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_borrowing,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_cancelled_allocation,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_carryover,gir_supply_compliance,mixed,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,source-specific join rule review required.,review_required,False,,source_table,3
raw.gir_certified_emissions,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_certified_performance,gir_supply_compliance,annual,,,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_early_reduction,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_methodology_status,gir_supply_compliance,annual,,,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,1
raw.gir_offset_issuance,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_pre_allocation,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_projects,gir_supply_compliance,annual,,,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,1
raw.gir_total_allowance,gir_supply_compliance,annual,year,year,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.gir_unused_performance,gir_supply_compliance,annual,,,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,2
raw.macro_indicators,macro_financial,mixed,date,date,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,source-specific join rule review required.,review_required,False,,source_table,2
raw.kemco_verification,public_emissions_power,annual,,,,Review source publication timing before feature use; do not assume same-day availability.,False,requires_review,annual/period value는 period_start 또는 annual_t+1 규칙 검토 후 forward-fill.,review_required,False,,source_table,3
